0,1,2,3,4,5,6,7,8,9,10
soda,flour,,,,,,,,,
whole milk,brown bread,,,,,,,,,
bottled beer,dog food,oil,,,,,,,,
chewing gum,soft cheese,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
meat,chocolate,,,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
coffee,berries,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
bottled beer,pastry,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
whole milk,rice,,,,,,,,,
pasta,margarine,,,,,,,,,
whole milk,white bread,,,,,,,,,
citrus fruit,beverages,pip fruit,other vegetables,,,,,,,
rolls/buns,cereals,,,,,,,,,
canned fish,white bread,,,,,,,,,
coffee,yogurt,oil,,,,,,,,
sausage,frankfurter,herbs,rice,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
onions,soda,,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
newspapers,domestic eggs,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
pork,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,curd,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
beef,chicken,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
whole milk,softener,sliced cheese,,,,,,,,
meat,meat,whole milk,cling film/bags,,,,,,,
other vegetables,bottled water,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
citrus fruit,rum,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
red/blush wine,bottled water,sweet spreads,,,,,,,,
turkey,flour,,,,,,,,,
tropical fruit,butter,dog food,,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
yogurt,sauces,specialty chocolate,,,,,,,,
whipped/sour cream,butter milk,shopping bags,,,,,,,,
pip fruit,margarine,,,,,,,,,
other vegetables,margarine,,,,,,,,,
ham,other vegetables,,,,,,,,,
whole milk,margarine,,,,,,,,,
pork,domestic eggs,pickled vegetables,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
onions,newspapers,newspapers,,,,,,,,
yogurt,canned beer,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
soda,frozen potato products,white wine,,,,,,,,
chicken,pastry,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
other vegetables,chewing gum,soft cheese,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
sausage,soda,,,,,,,,,
ham,candy,,,,,,,,,
butter,margarine,,,,,,,,,
sausage,sausage,,,,,,,,,
whole milk,chocolate,,,,,,,,,
newspapers,butter,,,,,,,,,
domestic eggs,softener,,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,organic sausage,specialty bar,yogurt,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
citrus fruit,pastry,,,,,,,,,
other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
chicken,yogurt,,,,,,,,,
canned beer,baking powder,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
brandy,soap,chewing gum,,,,,,,,
other vegetables,soda,,,,,,,,,
ham,rolls/buns,,,,,,,,,
hamburger meat,chewing gum,curd,,,,,,,,
herbs,root vegetables,,,,,,,,,
meat,citrus fruit,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
ice cream,chewing gum,,,,,,,,,
tropical fruit,liquor (appetizer),,,,,,,,,
pork,pastry,,,,,,,,,
citrus fruit,hard cheese,butter,soft cheese,,,,,,,
rolls/buns,waffles,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
domestic eggs,berries,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
grapes,waffles,soda,,,,,,,,
seasonal products,white wine,,,,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
dessert,white bread,salty snack,cat food,,,,,,,
bottled water,beverages,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
pastry,seasonal products,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
frozen vegetables,flour,pickled vegetables,,,,,,,,
pip fruit,herbs,other vegetables,,,,,,,,
grapes,hard cheese,,,,,,,,,
soda,shopping bags,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
pork,dessert,,,,,,,,,
pork,yogurt,,,,,,,,,
whole milk,sugar,,,,,,,,,
coffee,whole milk,,,,,,,,,
long life bakery product,curd,pot plants,soda,,,,,,,
light bulbs,detergent,,,,,,,,,
yogurt,zwieback,,,,,,,,,
citrus fruit,sauces,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
turkey,sugar,,,,,,,,,
pork,whole milk,waffles,whole milk,sugar,,,,,,
root vegetables,coffee,,,,,,,,,
yogurt,pastry,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
butter milk,whole milk,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
newspapers,red/blush wine,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
root vegetables,whipped/sour cream,rolls/buns,rolls/buns,,,,,,,
liquor,newspapers,,,,,,,,,
other vegetables,beverages,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
turkey,other vegetables,,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
domestic eggs,coffee,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
chicken,pork,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
soda,newspapers,,,,,,,,,
oil,coffee,,,,,,,,,
